func_id,n_in,arch_str,method,seed,rel_l2_error,wall_time
f1,2,"[2, 10, 1]",input_adaptive,42,0.0355880260467529,42.99552845954895
f1,2,"[2, 10, 1]",input_adaptive,43,0.0292028859257698,14.824565410614014
f1,2,"[2, 10, 1]",input_adaptive,44,0.0344222150743007,14.16234540939331
f1,2,"[2, 10, 1]",input_adaptive,45,0.042718581855297,15.135787725448608
f1,2,"[2, 10, 1]",input_adaptive,46,0.03268638625741,14.122797012329102
f1,2,"[2, 10, 1]",curvature_adaptive,42,0.026592681184411,17.616225957870483
f1,2,"[2, 10, 1]",curvature_adaptive,43,0.0293929986655712,15.894124507904053
f1,2,"[2, 10, 1]",curvature_adaptive,44,0.0253255274146795,16.828080892562866
f1,2,"[2, 10, 1]",curvature_adaptive,45,0.037362452596426,16.068331003189087
f1,2,"[2, 10, 1]",curvature_adaptive,46,0.0300791393965482,16.923715591430664
f2,1,"[1, 10, 1]",input_adaptive,42,0.0036936614196747,28.52877426147461
f2,1,"[1, 10, 1]",input_adaptive,43,0.0030510409269481,13.610326528549194
f2,1,"[1, 10, 1]",input_adaptive,44,0.001912118284963,14.868152379989624
f2,1,"[1, 10, 1]",input_adaptive,45,0.0017423644894734,14.94508671760559
f2,1,"[1, 10, 1]",input_adaptive,46,0.0023946575820446,13.651889085769652
f2,1,"[1, 10, 1]",curvature_adaptive,42,0.0019444178324192,16.056113481521606
f2,1,"[1, 10, 1]",curvature_adaptive,43,0.0033264362718909,14.744969367980955
f2,1,"[1, 10, 1]",curvature_adaptive,44,0.001007453422062,15.830195903778076
f2,1,"[1, 10, 1]",curvature_adaptive,45,0.0005956034874543,14.70969843864441
f2,1,"[1, 10, 1]",curvature_adaptive,46,0.0006881549488753,16.471079111099243
f3,2,"[2, 10, 1]",input_adaptive,42,0.0142647931352257,14.15087604522705
f3,2,"[2, 10, 1]",input_adaptive,43,0.0134362000972032,15.054377555847168
f3,2,"[2, 10, 1]",input_adaptive,44,0.0074367439374327,14.211792707443236
f3,2,"[2, 10, 1]",input_adaptive,45,0.0148548558354377,15.145931959152222
f3,2,"[2, 10, 1]",input_adaptive,46,0.009417911991477,14.131733655929564
f3,2,"[2, 10, 1]",curvature_adaptive,42,0.0084893088787794,17.440882921218872
f3,2,"[2, 10, 1]",curvature_adaptive,43,0.0103381723165512,16.60416865348816
f3,2,"[2, 10, 1]",curvature_adaptive,44,0.0099848443642258,17.034563541412354
f3,2,"[2, 10, 1]",curvature_adaptive,45,0.0106545640155673,15.680264949798584
f3,2,"[2, 10, 1]",curvature_adaptive,46,0.0086864177137613,17.162596464157104
f4,1,"[1, 10, 1]",input_adaptive,42,0.0029112200718373,15.49569034576416
f4,1,"[1, 10, 1]",input_adaptive,43,0.0013857943704351,15.777538061141968
f4,1,"[1, 10, 1]",input_adaptive,44,0.0014633486280217,14.025294303894045
f4,1,"[1, 10, 1]",input_adaptive,45,0.006500176154077,15.155519247055054
f4,1,"[1, 10, 1]",input_adaptive,46,0.0067944629117846,13.85829496383667
f4,1,"[1, 10, 1]",curvature_adaptive,42,0.0048225643113255,15.949092626571655
f4,1,"[1, 10, 1]",curvature_adaptive,43,0.0018775260541588,14.996814966201782
f4,1,"[1, 10, 1]",curvature_adaptive,44,0.0007843839121051,16.02299737930298
f4,1,"[1, 10, 1]",curvature_adaptive,45,0.0013387743383646,15.031214237213137
f4,1,"[1, 10, 1]",curvature_adaptive,46,0.0026322470512241,16.281050205230713
f5,1,"[1, 10, 1]",input_adaptive,42,0.0058319177478551,16.27191710472107
f5,1,"[1, 10, 1]",input_adaptive,43,0.0056590111926198,16.250996112823486
f5,1,"[1, 10, 1]",input_adaptive,44,0.0190511345863342,15.316330432891846
f5,1,"[1, 10, 1]",input_adaptive,45,0.0138707989826798,16.13636302947998
f5,1,"[1, 10, 1]",input_adaptive,46,0.0106411771848797,15.415089130401611
f5,1,"[1, 10, 1]",curvature_adaptive,42,0.0067353802733123,17.36773419380188
f5,1,"[1, 10, 1]",curvature_adaptive,43,0.0052420306019485,16.27084493637085
f5,1,"[1, 10, 1]",curvature_adaptive,44,0.0170576609671115,17.4437735080719
f5,1,"[1, 10, 1]",curvature_adaptive,45,0.0392302200198173,16.283372402191162
f5,1,"[1, 10, 1]",curvature_adaptive,46,0.006170489359647,16.090452909469604
f6,1,"[1, 10, 1]",input_adaptive,42,0.0023955742362886,17.06353783607483
f6,1,"[1, 10, 1]",input_adaptive,43,0.0021510361693799,16.567022800445557
f6,1,"[1, 10, 1]",input_adaptive,44,0.0106936236843466,16.990296840667725
f6,1,"[1, 10, 1]",input_adaptive,45,0.0022958102636039,16.440347909927368
f6,1,"[1, 10, 1]",input_adaptive,46,0.0034359493292868,16.15717363357544
f6,1,"[1, 10, 1]",curvature_adaptive,42,0.001607825863175,17.94442653656006
f6,1,"[1, 10, 1]",curvature_adaptive,43,0.0041057229973375,17.228500366210938
f6,1,"[1, 10, 1]",curvature_adaptive,44,0.0008049309835769,17.8665611743927
f6,1,"[1, 10, 1]",curvature_adaptive,45,0.0037924859207123,16.524110555648804
f6,1,"[1, 10, 1]",curvature_adaptive,46,0.0021203670185059,17.815881490707397
f7,2,"[2, 10, 1]",input_adaptive,42,0.0027941085863858,16.308115005493164
f7,2,"[2, 10, 1]",input_adaptive,43,0.0005250897957012,14.86442804336548
f7,2,"[2, 10, 1]",input_adaptive,44,0.0015276487683877,17.76469373703003
f7,2,"[2, 10, 1]",input_adaptive,45,0.0008613843237981,15.269068717956545
f7,2,"[2, 10, 1]",input_adaptive,46,0.000489841972012,16.183029651641846
f7,2,"[2, 10, 1]",curvature_adaptive,42,0.0003619080816861,16.596768379211426
f7,2,"[2, 10, 1]",curvature_adaptive,43,0.0005615740665234,17.595366954803467
f7,2,"[2, 10, 1]",curvature_adaptive,44,0.0011490787146613,16.482922077178955
f7,2,"[2, 10, 1]",curvature_adaptive,45,0.0006452362868003,16.808554649353027
f7,2,"[2, 10, 1]",curvature_adaptive,46,0.0008609885117039,18.182337522506717
f8,1,"[1, 10, 1]",input_adaptive,42,0.0067290416918694,16.969740867614746
f8,1,"[1, 10, 1]",input_adaptive,43,0.5933999419212341,16.691121816635132
f8,1,"[1, 10, 1]",input_adaptive,44,0.0034393009264022,17.751676559448242
f8,1,"[1, 10, 1]",input_adaptive,45,0.0055381041020154,16.120492696762085
f8,1,"[1, 10, 1]",input_adaptive,46,0.0091724041849374,19.387866973876957
f8,1,"[1, 10, 1]",curvature_adaptive,42,0.0096613569185137,17.719637155532837
f8,1,"[1, 10, 1]",curvature_adaptive,43,0.0066925189457833,18.77345871925354
f8,1,"[1, 10, 1]",curvature_adaptive,44,0.0049534193240106,17.694246768951416
f8,1,"[1, 10, 1]",curvature_adaptive,45,0.0050662104040384,17.6296968460083
f8,1,"[1, 10, 1]",curvature_adaptive,46,0.0047793677076697,18.95347213745117
f9,6,"[6, 10, 1]",input_adaptive,42,0.0050896555185317,34.40027737617493
f9,6,"[6, 10, 1]",input_adaptive,43,0.0098382849246263,14.627609252929688
f9,6,"[6, 10, 1]",input_adaptive,44,0.014322780072689,15.364022493362429
f9,6,"[6, 10, 1]",input_adaptive,45,0.0031830645166337,14.434987306594849
f9,6,"[6, 10, 1]",input_adaptive,46,0.0097999526187777,17.875530242919922
f9,6,"[6, 10, 1]",curvature_adaptive,42,0.0068075908347964,19.516783714294437
f9,6,"[6, 10, 1]",curvature_adaptive,43,0.0070755337364971,19.93086242675781
f9,6,"[6, 10, 1]",curvature_adaptive,44,0.0117891682311892,18.51997375488281
f9,6,"[6, 10, 1]",curvature_adaptive,45,0.0066277831792831,18.316238164901733
f9,6,"[6, 10, 1]",curvature_adaptive,46,0.0151887228712439,19.72475266456604
f10,4,"[4, 10, 1]",input_adaptive,42,0.1995158493518829,15.888282299041748
f10,4,"[4, 10, 1]",input_adaptive,43,0.1689775586128235,14.336694240570068
f10,4,"[4, 10, 1]",input_adaptive,44,0.079610951244831,15.82473874092102
f10,4,"[4, 10, 1]",input_adaptive,45,0.0805668532848358,14.580060243606567
f10,4,"[4, 10, 1]",input_adaptive,46,0.0596013106405735,15.95589804649353
f10,4,"[4, 10, 1]",curvature_adaptive,42,0.0857380479574203,18.133599281311035
f10,4,"[4, 10, 1]",curvature_adaptive,43,0.163929134607315,19.174116134643555
f10,4,"[4, 10, 1]",curvature_adaptive,44,0.0882167741656303,18.066009044647217
f10,4,"[4, 10, 1]",curvature_adaptive,45,0.0685780569911003,18.108057260513306
f10,4,"[4, 10, 1]",curvature_adaptive,46,0.0580898076295852,19.538666009902958
